source,target,lambda_s,accuracy,precision,recall,f1
E,M,0.2,0.766,0.844,0.762,0.801
E,N,0.2,0.846,0.896,0.834,0.864
E,R,0.2,0.820,0.799,0.873,0.834
M,E,0.2,0.811,0.770,0.927,0.841
M,N,0.2,0.794,0.795,0.874,0.833
M,R,0.2,0.723,0.693,0.836,0.758
N,E,0.2,0.893,0.867,0.946,0.905
N,M,0.2,0.841,0.881,0.859,0.870
N,R,0.2,0.826,0.787,0.912,0.845
R,E,0.2,0.878,0.894,0.878,0.886
R,M,0.2,0.712,0.827,0.675,0.743
R,N,0.2,0.832,0.897,0.804,0.848
E,M,0.35,0.751,0.825,0.757,0.790
E,N,0.35,0.842,0.885,0.839,0.861
E,R,0.35,0.807,0.781,0.873,0.824
M,E,0.35,0.812,0.771,0.928,0.842
M,N,0.35,0.791,0.791,0.875,0.831
M,R,0.35,0.718,0.686,0.843,0.756
N,E,0.35,0.887,0.862,0.942,0.900
N,M,0.35,0.832,0.871,0.854,0.863
N,R,0.35,0.826,0.785,0.917,0.846
R,E,0.35,0.889,0.917,0.874,0.895
R,M,0.35,0.727,0.840,0.689,0.757
R,N,0.35,0.818,0.902,0.774,0.833
E,M,0.5,0.754,0.833,0.752,0.791
E,N,0.5,0.838,0.893,0.822,0.856
E,R,0.5,0.807,0.791,0.855,0.821
M,E,0.5,0.802,0.766,0.914,0.833
M,N,0.5,0.806,0.799,0.892,0.843
M,R,0.5,0.742,0.713,0.843,0.772
N,E,0.5,0.882,0.871,0.919,0.894
N,M,0.5,0.835,0.887,0.840,0.863
N,R,0.5,0.810,0.762,0.924,0.835
R,E,0.5,0.887,0.879,0.917,0.898
R,M,0.5,0.718,0.833,0.680,0.749
R,N,0.5,0.812,0.887,0.778,0.829
